# Result of 'intser'
# Date/time = Tue Apr 23 15:43:49 CEST 2024
# Data set list (full path) = C:\Users\Bruker\AppData\Local\Temp\topspin-dataset-list-5940593709117529472.txt
# Region to calibrate = 0
# Value of region to calibrate = 1.0
# Global scaling = yes

# --- Integral info --- 
# A 1.0 #regions in PPM
# # low field   high field  bias        slope
#   8.1836689640786  8.128402428843064  -0.0  -0.0  # for region 1
#   8.015566586070513  7.976803252328922  -0.0  -0.0  # for region 2
#   7.952240347779795  7.910790446353143  -0.0  -0.0  # for region 3
#   0.13617261910248943  -0.030407478052012202  -0.0  -0.0  # for region 4

# Spectrum#; Integral 0; Integral 1; Integral 2; Integral 3;
0;1.0;-2.370383459975261;-2.9997854239769772;-151.36330560674526;
1;0.475358468179638;-2.856152020801252;-2.9221877918865022;-154.58719990912076;
2;-0.15756822255320224;-3.692348471461389;-4.003183929518087;-152.03137227677783;
3;0.16459874283694748;-3.420221896852044;-3.581665109938657;-153.66755547421303;
4;-0.7621077676520335;-4.807436952515588;-5.548304849418121;-150.0642528967763;
5;-1.6577259990407192;-5.138559311337188;-5.680549945724889;-154.85092961906446;
6;-3.080062100825487;-6.514206194936007;-7.446614747683841;-153.51866180294348;
7;-3.688372503975968;-7.1308061747406155;-8.21036970186555;-153.16919319415345;
8;-4.861197712872038;-7.964008027667686;-9.55169388836998;-153.94942316916166;
9;-4.240243102011966;-7.539949006639235;-9.223603993638452;-154.8814625249287;
10;-5.049974124656048;-8.027812839219449;-10.097026228763285;-154.886438795345;
11;-5.470552596369879;-8.65263612955343;-11.116767222881379;-151.26943806326207;
12;-5.817698735263677;-9.155715926589757;-12.207725367934769;-152.247573397622;
13;-7.011400928987959;-9.849175144523263;-13.090670991846112;-155.51300709363088;
14;-8.14706661954409;-10.714740110569764;-14.314672582233106;-157.28080428142277;
15;-8.569513164870118;-11.078610557140333;-15.18790548557292;-156.80125842526445;
16;-8.990725898063767;-11.724036301214248;-16.110686517052486;-156.20793047736856;
17;-9.118423876000303;-12.147230707091108;-17.08462499684447;-153.92501199101306;
18;-9.78008482063969;-12.58990419811678;-17.944838184434403;-154.7279333804559;
19;-10.638221669653902;-13.471884229924521;-19.08613018453538;-156.26008507308208;
20;-10.117836947466742;-13.473446217150936;-19.93291028197814;-151.19271451291243;
21;-10.533590614192311;-13.735352030898948;-20.710293969151543;-151.37395551965264;
22;-11.48075757958246;-14.343334258955394;-21.77198457577058;-153.9969959356777;
23;-13.145103880039382;-15.3839648600207;-23.248987074950143;-156.32953197182744;
24;-12.577667053744984;-15.367972635246007;-23.85469732158635;-154.34188271527026;
25;-12.832804256178528;-16.043356978769598;-24.824934364981196;-151.8164270567743;
26;-13.062488955645875;-16.49602087698483;-25.429959861661576;-149.92033865145282;
27;-13.916577259990408;-17.316651099386565;-27.008535707974655;-150.8578970287532;
28;-13.905734859768259;-17.62914005503244;-27.943872592330802;-149.06574861787797;
29;-14.68130411733522;-18.413876126524123;-29.370676924242044;-150.08879345164468;
30;-14.643737535657488;-18.84649294423548;-30.219385050362256;-147.45935993234545;
31;-14.819860273142655;-18.966835382323985;-30.65778279857623;-148.57994534622475;
32;-15.885586802312373;-19.697299497639666;-32.49600509933608;-150.7495045818292;
33;-15.924412440360488;-20.190404665135183;-33.53054237245349;-150.02069711963244;
34;-17.205204099664254;-21.41704427839346;-35.049204175396966;-148.66914270567744;
35;-16.41528664832252;-21.242994723954258;-35.59029232827607;-144.860705450231;
36;-16.891478176356248;-22.030892636255775;-37.16017153459723;-145.87745184661603;
37;-18.05978466664984;-22.861630020447834;-38.60026064675738;-148.167492363618;
38;-17.44104839320425;-23.00480587180976;-39.44109572615051;-143.11759081614622;
39;-18.728513997929973;-23.9815874839068;-41.22561722161917;-146.68377805265948;
40;-19.714736955040014;-24.640881781233436;-42.18400209527176;-145.18668429555956;
41;-18.669663368086237;-24.957233105293717;-43.088806073763664;-140.55458119809154;
42;-20.465718324792366;-26.412658092040495;-45.07479552167218;-144.89892838209678;
43;-21.469962512306566;-27.053584050690432;-46.22163494307425;-146.84264319794008;
44;-21.257974023679097;-26.932645217479113;-46.91404021407114;-148.69902872794285;
45;-22.18450382450206;-28.555764521747914;-49.34871759270947;-141.792303031833;
46;-22.65036730366294;-28.948429177290286;-50.47131307903971;-142.3551517178704;
47;-23.678972180849723;-29.68301756998965;-51.85458056698559;-142.26672746320654;
48;-24.22988665337137;-30.66810138085982;-53.45492641304622;-144.14415091005478;
49;-24.854378613081565;-31.155655971524503;-54.52557241309671;-143.0680584656552;
50;-24.065436220432687;-31.056900512458032;-55.31893885845556;-141.29034344785805;
51;-25.479205058945297;-31.83684964531846;-56.38526493827784;-140.3518289450433;
52;-26.72092179335067;-33.412850579355265;-59.27041312195492;-143.5918038270265;
53;-26.64893469315629;-33.087004266276224;-58.50212998258148;-143.14682048822357;
54;-27.77553770226946;-34.28561330876228;-61.0655182642062;-144.84330585918764;
55;-27.513139625880395;-34.64158861989751;-61.36451733016939;-138.29872769040466;
56;-28.666226996188122;-35.49916062908641;-63.59081930174438;-142.5607155479262;
57;-28.95236412288895;-36.05510186050034;-64.49236046247445;-140.67511612349483;
58;-28.426633933304725;-35.476882589049055;-65.13541640370586;-145.71677542725874;
59;-30.22516282533512;-37.18857130235024;-67.46581299068488;-138.0594754247343;
60;-30.882497538686795;-37.98995279327494;-69.2031687829753;-143.05548367960014;
61;-31.297752631711813;-38.001508343220664;-69.72994029737713;-142.59437873930275;
62;-32.017197637139326;-39.07699492590817;-71.33651515916493;-144.53679663241866;
63;-31.160872062201804;-38.26540845177089;-71.65586108095827;-145.14840456415823;
64;-31.65573485976826;-39.11547976674324;-74.40886830081034;-141.32955406053568;
65;-32.95688599702118;-39.89143715446949;-74.42429568575973;-144.16183134324592;
66;-34.40942051851665;-41.056048519425445;-76.35575757958246;-142.37904538913995;
67;-35.07940575063742;-41.82236260823467;-78.18277143866914;-144.59465958145054;
