LCC-ICCG;FsC;FsC-T45P;FsC-L182A;FsC-D83G;FsC-D83N
0.319;0.292;0.354;0.339;0.333;0.295
0.406;0.479;0.448;0.422;0.333;0.295
0.354;0.318;0.306;0.255;0.302;0.316
0.482;0.604;0.424;0.349;0.302;0.368
0.333;0.292;0.299;0.331;0.231;0.263
0.472;0.453;0.432;0.438;0.231;0.305
0.34;0.333;0.281;0.266;0.302;0.273
0.476;0.609;0.403;0.352;0.302;0.273
0.37;0.323;0.417;0.365;0.422;0.313
0.683;0.601;0.839;0.504;0.479;0.354
0.388;0.372;0.375;0.37;0.365;0.339
0.716;0.972;0.799;0.539;0.417;0.339
0.37;0.323;0.361;0.309;0.307;0.323
0.719;0.698;0.799;0.465;0.354;0.367
0.372;0.396;0.354;0.307;0.375;0.368
0.703;0.99;0.743;0.445;0.432;0.427
0.411;0.375;0.458;0.406;0.451;0.367
0.972;0.948;1.271;0.859;0.583;0.464
0.445;0.438;0.417;0.427;0.41;0.391
0.983;1.333;1.208;0.771;0.497;0.485
0.434;0.396;0.403;0.361;0.372;0.375
1.018;1.063;1.174;0.774;0.424;0.443
0.431;0.448;0.406;0.354;0.432;0.441
1.018;1.406;1.136;0.743;0.505;0.49
