Chrom.1;;Chrom.1;;Chrom.1;;Chrom.1;;Chrom.1;;Chrom.1;;Chrom.1;;Chrom.1;
UV 1_280;;Conc B;;Cond;;Injection;;Run Log;;Fraction;;UV 1_280_CUT_TEMP@100,BASEM;;% Cond;
ml;mAU;ml;%;ml;mS/cm;ml;Injection;ml;Logbook;ml;Fraction;ml;mAU;ml;%
-25.222218;0.032669;-25.222218;0;-25.222218;0.03462;0.001822;;-25.222218;Method Settings;-0.000425;1.A.1;0;0.086101;-25.222218;0.034643
-25.214031;0.482016;-25.140343;0;-25.205843;0.038456;;;-25.222113;Equilibration;36.085327;Waste(Frac);0.008186;0.08682;-25.140343;0.038631
-25.205843;1.437584;-25.058468;0;-25.18947;0.038898;;;-0.029314;Sample Application;36.097057;1.A.2;0.016375;0.087539;-25.058468;0.035893
-25.197657;1.442791;-24.976593;0;-25.173096;0.03868;;;36.087029;Column Wash;76.09573;1.A.3;0.024561;0.088258;-24.976593;0.035308
-25.18947;1.439718;-24.894718;0;-25.156721;0.037234;;;86.389217;Elution;86.380901;Waste(Frac);0.032747;0.088977;-24.894718;0.034634
-25.181282;0.015804;-24.812843;0;-25.140348;0.036324;;;340.886517;Column Wash;86.51408;2.A.1;0.040936;0.089697;-24.812843;0.034132
-25.173096;0.086615;-24.730968;0;-25.123974;0.035832;;;;;96.516323;2.A.2;0.049122;0.090416;-24.730968;0.033924
-25.164909;0.14039;-24.649094;0;-25.107599;0.035663;;;;;106.518612;2.A.3;0.057308;0.091135;-24.649094;0.033906
-25.156721;0.139924;-24.567219;0;-25.091227;0.035646;;;;;116.521114;2.A.4;0.065496;0.091854;-24.567219;0.033882
-25.148535;0.106111;-24.485344;0;-25.074852;0.035547;;;;;126.515499;2.A.5;0.073683;0.092573;-24.485344;0.033923
-25.140348;0.065636;-24.403469;0;-25.058477;0.035367;;;;;136.518414;2.B.1;0.081869;0.093292;-24.403469;0.033915
-25.13216;0.016325;-24.321596;0;-25.042105;0.035193;;;;;146.521496;2.B.2;0.090057;0.094051;-24.321596;0.033977
-25.123974;-0.043879;-24.239721;0;-25.02573;0.034973;;;;;156.516521;2.B.3;0.098244;0.094809;-24.239721;0.033998
-25.115788;-0.104217;-24.157846;0;-25.009357;0.034841;;;;;166.520046;2.B.4;0.10643;0.095568;-24.157846;0.033968
-25.107599;-0.175576;-24.075972;0;-24.992983;0.034642;;;;;176.523663;2.B.5;0.114618;0.096326;-24.075972;0.034007
-25.099413;-0.27751;-23.994097;0;-24.976608;0.034522;;;;;186.519161;2.C.1;0.122805;0.097085;-23.994097;0.034156
-25.091227;-0.373955;-23.912222;0;-24.960236;0.034447;;;;;196.523159;2.C.2;0.130991;0.097843;-23.912222;0.034189
