Chrom.1;;Chrom.1;;Chrom.1;;Chrom.1;;Chrom.1;;Chrom.1;;Chrom.1;
UV 1_280;;Conc B;;Injection;;Run Log;;Fraction;;UV 1_280_CUT_TEMP@100,BASEM;;Cond;
ml;mAU;ml;%;ml;Injection;ml;Logbook;ml;Fraction;ml;mAU;ml;mS/cm
-25.221535;4.861609;-25.221535;0;-0.003624;;-25.221535;Method Settings;-0.00042;1.A.1;0;-0.001546;-25.221535;0.046226
-25.21335;4.859842;-25.139671;0;;;-25.221443;Equilibration;36.607201;Waste(Frac);0.008184;-0.001139;-25.205164;0.048547
-25.205164;4.749277;-25.057808;0;;;-0.029305;Sample Application;36.619003;1.A.2;0.016371;-0.000731;-25.188793;0.048207
-25.19698;4.759628;-24.975945;0;;;36.608902;Column Wash;76.617706;1.A.3;0.024555;-0.000324;-25.172424;0.047778
-25.188795;4.778999;-24.894081;0;;;86.911118;Elution;86.902802;Waste(Frac);0.03274;0.000083;-25.156054;0.047978
-25.180611;0.00487;-24.812216;0;;;341.408409;Column Wash;87.036102;2.A.1;0.040924;0.000491;-25.139683;0.047637
-25.172424;0.007044;-24.730352;0;;;;;97.038239;2.A.2;0.04911;0.000898;-25.123314;0.047395
-25.16424;0.011039;-24.648489;0;;;;;107.040489;2.A.3;0.057295;0.001305;-25.106943;0.047282
-25.156055;0.015044;-24.566626;0;;;;;117.042992;2.A.4;0.065479;0.001713;-25.090572;0.04699
-25.147869;0.014397;-24.484762;0;;;;;127.037376;2.A.5;0.073666;0.00212;-25.074202;0.046715
-25.139685;0.007961;-24.402899;0;;;;;137.040215;2.B.1;0.08185;0.002527;-25.057831;0.046398
-25.1315;-0.005932;-24.321035;0;;;;;147.04348;2.B.2;0.090034;0.002957;-25.041462;0.04618
-25.123316;-0.022987;-24.239172;0;;;;;157.038383;2.B.3;0.098219;0.003386;-25.025091;0.045951
-25.115129;-0.037557;-24.157309;0;;;;;167.041893;2.B.4;0.106405;0.003816;-25.00872;0.045756
-25.106945;-0.047538;-24.075443;0;;;;;177.045555;2.B.5;0.11459;0.004246;-24.992352;0.045599
-25.098761;-0.055215;-23.99358;0;;;;;187.041069;2.C.1;0.122774;0.004675;-24.975981;0.045513
-25.090574;-0.066144;-23.911716;0;;;;;197.045067;2.C.2;0.13096;0.005105;-24.95961;0.045467
-25.08239;-0.079043;-23.829853;0;;;;;207.040764;2.C.3;0.139145;0.005535;-24.943239;0.045404
-25.074205;-0.08853;-23.74799;0;;;;;217.044945;2.C.4;0.147329;0.005964;-24.926868;0.045352
-25.066021;-0.098716;-23.666126;0;;;;;227.040947;2.C.5;0.155514;0.006394;-24.9105;0.045318
-25.057835;-0.106953;-23.584263;0;;;;;237.045403;3.A.1;0.1637;0.006824;-24.894129;0.0453
-25.04965;-0.115842;-23.502399;0;;;;;247.041466;3.A.2;0.171885;0.007255;-24.877758;0.045295
-25.041466;-0.124047;-23.420536;0;;;;;257.046196;3.A.3;0.180069;0.007686;-24.861389;0.045326
-25.033279;-0.128628;-23.338673;0;;;;;267.042503;3.A.4;0.188255;0.008117;-24.845018;0.045323
-25.025095;-0.127224;-23.256809;0;;;;;277.047203;3.A.5;0.19644;0.008548;-24.828648;0.045293
-25.016911;-0.112152;-23.174944;0;;;;;287.043785;3.B.1;0.204624;0.008979;-24.812277;0.045259
-25.008726;-0.075446;-23.093081;0;;;;;297.048546;3.B.2;0.212809;0.00941;-24.795906;0.045274
-25.00054;-0.018351;-23.011217;0;;;;;307.045128;3.B.3;0.220995;0.009841;-24.779537;0.045314
-24.992355;0.055849;-22.929354;0;;;;;317.050102;3.B.4;0.229179;0.010272;-24.763166;0.045333
-24.984171;0.148083;-22.84749;0;;;;;327.046654;3.B.5;0.237364;0.010704;-24.746796;0.045311
-24.975985;0.262616;-22.765627;0;;;;;337.051567;3.C.1;0.24555;0.011135;-24.730427;0.045322
-24.9678;0.400169;-22.683764;0;;;;;341.400017;Waste(Frac);0.253735;0.011527;-24.714056;0.04528
-24.959616;0.560664;-22.6019;0;;;;;341.533287;3.C.2;0.261919;0.011919;-24.697685;0.04525
-24.951431;0.733;-22.520035;0;;;;;351.53524;3.C.3;0.270103;0.012311;-24.681314;0.045229
