Chrom.1;;Chrom.1;;Chrom.1;;Chrom.1;;Chrom.1;;Chrom.1;;Chrom.1;
UV 1_280;;Conc B;;Injection;;Run Log;;Fraction;;UV 1_280_CUT_TEMP@100,BASEM;;Cond;
ml;mAU;ml;%;ml;Injection;ml;Logbook;ml;Fraction;ml;mAU;ml;mS/cm
-25.22035;0.018182;-25.22035;0;-0.00231;;-25.22035;Method Settings;-0.000414;1.A.1;0;0.002002;-25.22035;0.010383
-25.212166;0.299885;-25.138494;0;;;-25.220247;Equilibration;33.396799;Waste(Frac);0.008184;0.003076;-25.203979;0.011804
-25.203979;0.354895;-25.056641;0;;;-0.029215;Sample Application;33.408472;1.A.2;0.016371;0.004149;-25.187611;0.012098
-25.195795;0.350121;-24.974785;0;;;33.398478;Column Wash;73.404161;1.A.3;0.024555;0.005222;-25.17124;0.012695
-25.187611;0.353214;-24.892929;0;;;83.697512;Elution;83.689196;Waste(Frac);0.03274;0.006295;-25.154871;0.017288
-25.179424;0.011493;-24.811073;0;;;338.194872;Column Wash;83.822489;2.A.1;0.040926;0.007368;-25.1385;0.020495
-25.17124;0.023084;-24.729219;0;;;;;93.824663;2.A.2;0.04911;0.008441;-25.122129;0.024271
-25.163055;0.037365;-24.647364;0;;;;;103.82686;2.A.3;0.057295;0.009514;-25.105761;0.02488
-25.154871;0.047719;-24.565508;0;;;;;113.829378;2.A.4;0.065479;0.010587;-25.08939;0.023447
-25.146685;0.056784;-24.483654;0;;;;;123.823748;2.A.5;0.073666;0.01166;-25.073021;0.021512
-25.1385;0.063068;-24.401798;0;;;;;133.826693;2.B.1;0.08185;0.012733;-25.05665;0.01972
-25.130316;0.066617;-24.319942;0;;;;;143.829821;2.B.2;0.090034;0.013865;-25.040279;0.018225
-25.122129;0.063728;-24.238087;0;;;;;153.824877;2.B.3;0.098221;0.014996;-25.023911;0.016869
-25.113945;0.05867;-24.156233;0;;;;;163.828325;2.B.4;0.106405;0.016128;-25.00754;0.015647
-25.105761;0.052394;-24.074377;0;;;;;173.823656;2.B.5;0.11459;0.01726;-24.991169;0.014576
-25.097574;0.048513;-23.992521;0;;;;;183.82744;2.C.1;0.122776;0.018392;-24.9748;0.013626
-25.08939;0.042726;-23.910667;0;;;;;193.831377;2.C.2;0.13096;0.019524;-24.958429;0.012907
-25.081205;0.034727;-23.828812;0;;;;;203.82712;2.C.3;0.139145;0.020655;-24.94206;0.012322
-25.073019;0.028222;-23.746956;0;;;;;213.831392;2.C.4;0.147331;0.021787;-24.92569;0.011767
-25.064835;0.022149;-23.6651;0;;;;;223.827303;2.C.5;0.155516;0.022919;-24.909319;0.011329
-25.05665;0.01627;-23.583246;0;;;;;233.831743;3.A.1;0.1637;0.024051;-24.89295;0.010936
-25.048466;0.010943;-23.50139;0;;;;;243.827959;3.A.2;0.171885;0.025187;-24.876579;0.010652
-25.040279;0.009284;-23.419535;0;;;;;253.832598;3.A.3;0.180071;0.026322;-24.86021;0.010457
-25.032095;0.008619;-23.337681;0;;;;;263.828905;3.A.4;0.188255;0.027458;-24.84384;0.010338
-25.023911;0.01383;-23.255825;0;;;;;273.833696;3.A.5;0.19644;0.028594;-24.827469;0.010264
-25.015724;0.027369;-23.173969;0;;;;;283.830156;3.B.1;0.204626;0.029729;-24.8111;0.010205
-25.00754;0.05044;-23.092113;0;;;;;293.835009;3.B.2;0.212811;0.030865;-24.794729;0.010133
-24.999355;0.073107;-23.01026;0;;;;;303.83156;3.B.3;0.220995;0.032001;-24.77836;0.010115
-24.991169;0.099254;-22.928404;0;;;;;313.836443;3.B.4;0.229181;0.033136;-24.76199;0.010068
-24.982985;0.127315;-22.846548;0;;;;;323.832994;3.B.5;0.237366;0.034272;-24.745619;0.010011
-24.9748;0.164713;-22.764694;0;;;;;333.837938;3.C.1;0.24555;0.035408;-24.72925;0.009991
-24.966614;0.203242;-22.682838;0;;;;;338.18651;Waste(Frac);0.253736;0.036631;-24.712879;0.009929
-24.958429;0.243364;-22.600983;0;;;;;338.31975;3.C.2;0.261921;0.037855;-24.69651;0.009893
-24.950245;0.283508;-22.519127;0;;;;;348.321672;3.C.3;0.270105;0.039078;-24.68014;0.00989
-24.94206;0.326107;-22.437273;0;;;;;353.418413;Waste(Frac);0.27829;0.040302;-24.663769;0.00988
