Chrom.1;;Chrom.1;;Chrom.1;;Chrom.1;;Chrom.1;;Chrom.1;;Chrom.1;;;;;;;
UV 1_280;;Conc B;;Injection;;Run Log;;Fraction;;UV 1_280_CUT_TEMP@100,BASEM;;Cond;;;;;;;
ml;mAU;ml;%;ml;Injection;ml;Logbook;ml;Fraction;ml;mAU;ml;mS/cm;;;;;;
-25.202332;14.781531;-25.202332;0;-0.002037;;-25.202332;Method Settings;-0.00042;1.A.1;0;0.05222;-25.202332;0.033068;;;;;;
-25.190279;14.810429;-25.142065;0;;;-25.202238;Equilibration;36.035465;Waste(Frac);0.012053;0.0529;-25.190279;0.032634;;;;;;
-25.178228;14.803837;-25.0818;0;;;-0.019745;Sample Application;36.047077;1.A.2;0.024103;0.05358;-25.178228;0.032648;;;;;;
-25.166176;10.980132;-25.021534;0;;;36.037151;Column Wash;76.048615;1.A.3;0.036156;0.05426;-25.166176;0.032876;;;;;;
-25.154125;-0.014157;-24.961269;0;;;86.32869;Elution;86.322647;Waste(Frac);0.048206;0.05494;-25.154125;0.032711;;;;;;
-25.142073;-0.020437;-24.901003;0;;;340.791718;Column Wash;86.419601;2.A.1;0.060259;0.05562;-25.142073;0.032523;;;;;;
-25.13002;0.008833;-24.840738;0;;;;;96.422577;2.A.2;0.072311;0.056299;-25.13002;0.032366;;;;;;
-25.11797;0.039075;-24.780472;0;;;;;106.422089;2.A.3;0.084362;0.056979;-25.11797;0.032149;;;;;;
-25.105917;0.06012;-24.720207;0;;;;;116.42308;2.A.4;0.096415;0.057659;-25.105917;0.032122;;;;;;
-25.093866;0.079108;-24.659941;0;;;;;126.422028;2.A.5;0.108465;0.058339;-25.093866;0.032798;;;;;;
-25.081814;0.10746;-24.599676;0;;;;;136.420929;2.B.1;0.120518;0.059019;-25.081814;0.033868;;;;;;
-25.069761;0.115341;-24.53941;0;;;;;146.424225;2.B.2;0.13257;0.059746;-25.069761;0.034599;;;;;;
-25.057711;0.095345;-24.479143;0;;;;;156.422714;2.B.3;0.144621;0.060473;-25.057711;0.03487;;;;;;
-25.045658;0.073989;-24.418879;0;;;;;166.42511;2.B.4;0.156673;0.061199;-25.045658;0.034884;;;;;;
-25.033606;0.058519;-24.358612;0;;;;;176.425537;2.B.5;0.168726;0.061926;-25.033606;0.034769;;;;;;
-25.021555;0.052979;-24.298347;0;;;;;186.424591;2.C.1;0.180777;0.062653;-25.021555;0.034582;;;;;;
-25.009502;0.047321;-24.238081;0;;;;;196.4272;2.C.2;0.192829;0.06338;-25.009502;0.034418;;;;;;
-24.997452;0.050978;-24.177816;0;;;;;206.424179;2.C.3;0.20488;0.064106;-24.997452;0.03425;;;;;;
-24.985399;0.075704;-24.11755;0;;;;;216.423828;2.C.4;0.216932;0.064833;-24.985399;0.034025;;;;;;
-24.973347;0.117262;-24.057285;0;;;;;226.428192;2.C.5;0.228985;0.06556;-24.973347;0.033802;;;;;;
-24.961296;0.174132;-23.997019;0;;;;;236.427002;3.A.1;0.241035;0.066286;-24.961296;0.033541;;;;;;
-24.949244;0.241283;-23.936754;0;;;;;246.423859;3.A.2;0.253088;0.066972;-24.949244;0.033306;;;;;;
-24.937193;0.313166;-23.876488;0;;;;;256.423859;3.A.3;0.265139;0.067657;-24.937193;0.033156;;;;;;
-24.92514;0.390268;-23.816221;0;;;;;266.426483;3.A.4;0.277191;0.068342;-24.92514;0.032989;;;;;;
-24.913088;0.471907;-23.755957;0;;;;;276.423431;3.A.5;0.289244;0.069027;-24.913088;0.032757;;;;;;
-24.901037;0.537539;-23.69569;0;;;;;286.423462;3.B.1;0.301294;0.069712;-24.901037;0.032596;;;;;;
-24.888985;0.595097;-23.635426;0;;;;;296.428986;3.B.2;0.313347;0.070398;-24.888985;0.032443;;;;;;
-24.876934;0.644297;-23.575159;0;;;;;306.426636;3.B.3;0.325397;0.071083;-24.876934;0.032353;;;;;;
-24.864882;0.691534;-23.514894;0;;;;;316.427826;3.B.4;0.33745;0.071768;-24.864882;0.032225;;;;;;
-24.852829;0.7286;-23.454628;0;;;;;326.42572;3.B.5;0.349503;0.072453;-24.852829;0.032107;;;;;;
-24.840778;0.756494;-23.394363;0;;;;;336.427338;3.C.1;0.361553;0.073138;-24.840778;0.032011;;;;;;
