Chrom.1;;Chrom.1;;Chrom.1;;Chrom.1;;Chrom.1;;Chrom.1;;Chrom.1;
UV 1_280;;Conc B;;Injection;;Run Log;;Fraction;;UV 1_280_CUT_TEMP@100,BASEM;;Cond;
ml;mAU;ml;%;ml;Injection;ml;Logbook;ml;Fraction;ml;mAU;ml;mS/cm
-25.183329;0.313217;-25.183329;0;0.000137;;-25.183329;Method Settings;-0.000422;1.A.1;0;-0.22271;-25.183329;101.084206
-25.180622;4.048994;-25.156265;0;;;-25.183226;Equilibration;39.373495;Waste(Frac);0.002707;-0.192514;-25.177916;101.142693
-25.177916;4.096456;-25.129202;0;;;-0.010567;Sample Application;;;0.005413;-0.162317;-25.172503;100.613892
-25.175209;4.219096;-25.10214;0;;;;;;;0.00812;-0.132121;-25.167089;100.621544
-25.172503;7.647564;-25.075077;0;;;;;;;0.010826;-0.101924;-25.161676;100.634476
-25.169796;7.650308;-25.048014;0;;;;;;;0.013533;-0.071727;-25.156263;100.617958
-25.167089;7.64809;-25.02095;0;;;;;;;0.016239;-0.041531;-25.15085;100.545563
-25.164383;7.646271;-24.993889;0;;;;;;;0.018946;-0.028428;-25.145437;100.547783
-25.161676;7.644113;-24.966825;0;;;;;;;0.021652;-0.030988;-25.140024;100.498734
-25.15897;7.636842;-24.939762;0;;;;;;;0.024359;-0.031912;-25.134611;100.322769
-25.156263;7.631889;-24.912699;0;;;;;;;0.027065;-0.033239;-25.129198;100.10659
-25.153557;7.627202;-24.885637;0;;;;;;;0.029772;-0.033606;-25.123785;99.94239
-25.150852;7.63613;-24.858574;0;;;;;;;0.032476;-0.035595;-25.118372;99.847816
-25.148146;0.019401;-24.831511;0;;;;;;;0.035183;-0.035643;-25.112959;99.787956
-25.145439;0.024305;-24.804447;0;;;;;;;0.037889;-0.034659;-25.107546;99.717018
-25.142733;0.0021;-24.777386;0;;;;;;;0.040596;-0.03604;-25.102133;99.637039
-25.140026;-0.03489;-24.750322;0;;;;;;;0.043303;-0.03671;-25.096718;99.571861
-25.13732;-0.080446;-24.723259;0;;;;;;;0.046009;-0.038091;-25.091305;99.524208
-25.134613;-0.136233;-24.696196;0;;;;;;;0.048716;-0.039242;-25.085892;99.491554
-25.131907;-0.21086;-24.669134;0;;;;;;;0.051422;-0.040018;-25.080479;99.470924
-25.1292;-0.314902;-24.642071;0;;;;;;;0.054129;-0.041135;-25.075066;99.459618
-25.126493;-0.446174;-24.615007;0;;;;;;;0.056835;-0.043755;-25.069653;99.458313
-25.123787;-0.593665;-24.587944;0;;;;;;;0.059542;-0.047554;-25.06424;99.463814
-25.12108;-0.743249;-24.560883;0;;;;;;;0.062248;-0.052685;-25.058826;99.474449
-25.118374;-0.888931;-24.533819;0;;;;;;;0.064955;-0.055711;-25.053413;99.489487
-25.115667;-1.033884;-24.506756;0;;;;;;;0.067661;-0.057803;-25.048;99.5084
-25.112961;-1.195382;-24.479692;0;;;;;;;0.070368;-0.059888;-25.042587;99.527725
-25.110254;-1.383582;-24.452629;0;;;;;;;0.073074;-0.062113;-25.037174;99.547729
-25.107548;-1.620357;-24.425568;0;;;;;;;0.075781;-0.063417;-25.031761;99.570724
-25.104841;-1.876127;-24.398504;0;;;;;;;0.078487;-0.064175;-25.026348;99.595627
-25.102135;-2.12486;-24.371441;0;;;;;;;0.081194;-0.063606;-25.020935;99.620895
-25.099428;-2.369298;-24.344378;0;;;;;;;0.0839;-0.06289;-25.015522;99.646248
-25.096722;-2.613946;-24.317316;0;;;;;;;0.086607;-0.06355;-25.010109;99.672951
-25.094015;-2.857531;-24.290253;0;;;;;;;0.089314;-0.063412;-25.004696;99.700363
-25.091309;-3.097586;-24.263189;0;;;;;;;0.09202;-0.063374;-24.999283;99.72934
-25.088604;-3.329975;-24.236126;0;;;;;;;0.094725;-0.064388;-24.99387;99.761047
-25.085897;-3.547738;-24.209064;0;;;;;;;0.097431;-0.064499;-24.988457;99.795059
-25.083191;-3.74484;-24.182001;0;;;;;;;0.100138;-0.06432;-24.983044;99.82959
-25.080484;-3.927384;-24.154938;0;;;;;;;0.102844;-0.064598;-24.977631;99.865067
-25.077778;-4.102654;-24.127874;0;;;;;;;0.105551;-0.062816;-24.972218;99.900391
-25.075071;-4.277644;-24.100813;0;;;;;;;0.108257;-0.059939;-24.966805;99.93557
