Chrom.1;;Chrom.1;;Chrom.1;;Chrom.1;;Chrom.1;;Chrom.1;
UV 1_280;;Conc B;;Run Log;;Fraction;;UV 1_280_CUT_TEMP@100,BASEM;;Cond;
ml;mAU;ml;%;ml;Logbook;ml;Fraction;ml;mAU;ml;mS/cm
0;-1.341057;0;0;0;Method Settings;0.010934;2.A.1;0;-13.577179;0;1.644221
0.008286;-13.471539;0.08287;0.010782;0.000106;Elution;10.011648;2.A.2;0.008286;-13.577179;0.016572;1.266595
0.016571;-13.507586;0.16574;0.025498;178.983032;Column Wash;20.005526;2.A.3;0.016571;-13.577179;0.033144;1.217204
0.024857;-13.501431;0.248611;0.040668;;;30.00807;2.A.4;0.024857;-13.577179;0.049716;1.214247
0.033142;-13.499596;0.331481;0.056043;;;40.010777;2.A.5;0.033142;-13.577179;0.066288;1.210495
0.041428;-13.507454;0.414351;0.071544;;;50.013706;2.B.1;0.041428;-13.577179;0.08286;1.204429
0.049714;-13.520918;0.497221;0.087164;;;60.008564;2.B.2;0.049714;-13.577179;0.099432;1.198434
0.057999;-13.536247;0.580091;0.103302;;;70.011879;2.B.3;0.057999;-13.577179;0.116004;1.19474
0.066285;-13.549561;0.662962;0.119743;;;80.015373;2.B.4;0.066285;-13.577179;0.132575;1.206954
0.074571;-13.560488;0.745832;0.136222;;;90.010658;2.B.5;0.074571;-13.577179;0.149147;1.232394
0.082856;-13.567589;0.828702;0.152709;;;100.014511;2.C.1;0.082856;-13.577179;0.165719;1.264572
0.091142;-13.571491;0.911572;0.169194;;;110.010147;2.C.2;0.091142;-13.577179;0.182291;1.290261
0.099427;-13.570322;0.994442;0.185688;;;120.01416;2.C.3;0.099427;-13.577179;0.198863;1.300592
0.107713;-13.569356;1.077313;0.202167;;;130.010086;2.C.4;0.107713;-13.577179;0.215435;1.300825
0.115999;-13.563192;1.160183;0.218646;;;140.014343;2.C.5;0.115999;-13.577179;0.232007;1.295488
