Chrom.1;;Chrom.1;;Chrom.1;;Chrom.1;;Chrom.1;;Chrom.1;;Chrom.1;
UV 1_280;;Conc B;;Injection;;Run Log;;Fraction;;UV 1_280_CUT_TEMP@100,BASEM;;Cond;
ml;mAU;ml;%;ml;Injection;ml;Logbook;ml;Fraction;ml;mAU;ml;mS/cm
-25.191223;-0.287325;-25.191223;0;0.00248;;-25.191223;Method Settings;-0.000425;1.A.1;0;0.007063;-25.191223;0
-25.183853;-3.561337;-25.154367;0;;;-25.191126;Equilibration;38.094807;Waste(Frac);0.00737;0.007063;-25.183853;0
-25.176481;-3.722372;-25.117512;0;;;-0.014084;Sample Application;38.106541;1.A.2;0.014742;0.007063;-25.176481;0
-25.169111;-3.729871;-25.080656;0;;;38.096512;Column Wash;78.104691;1.A.3;0.022112;0.007063;-25.169111;0
-25.161739;-3.74198;-25.0438;0;;;88.38266;Elution;88.378967;Waste(Frac);0.029484;0.007063;-25.161739;0
-25.154369;-0.014768;-25.006945;0;;;267.380493;Column Wash;88.438217;2.A.1;0.036854;0.007063;-25.154369;0
-25.146997;-0.037215;-24.970089;0;;;;;98.439232;2.A.2;0.044226;0.007063;-25.146997;0
-25.139627;-0.035241;-24.933233;0;;;;;108.439056;2.A.3;0.051596;0.007063;-25.139627;0
-25.132256;-0.034652;-24.896378;0;;;;;118.440292;2.A.4;0.058968;0.001716;-25.132256;0
-25.124886;-0.05012;-24.859522;0;;;;;128.44133;2.A.5;0.066338;0.000051;-25.124886;0
-25.117514;-0.071314;-24.822666;0;;;;;138.439804;2.B.1;0.073709;0.000239;-25.117514;0
-25.110144;-0.077758;-24.785809;0;;;;;148.441193;2.B.2;0.081079;0.004302;-25.110144;0
-25.102772;-0.100827;-24.748953;0;;;;;158.442001;2.B.3;0.088451;0.007063;-25.102772;0
-25.095402;-0.151462;-24.712097;0;;;;;168.442398;2.B.4;0.095821;0.007063;-25.095402;0
-25.08803;-0.203327;-24.675241;0;;;;;178.440903;2.B.5;0.103193;0.007063;-25.08803;0
-25.08066;-0.241327;-24.638386;0;;;;;188.439896;2.C.1;0.110563;0.007063;-25.08066;0
-25.073288;-0.27152;-24.60153;0;;;;;198.441711;2.C.2;0.117935;0.007063;-25.073288;0
-25.065918;-0.309481;-24.564674;0;;;;;208.442154;2.C.3;0.125305;0.007063;-25.065918;0.005805
-25.058548;-0.351245;-24.527819;0;;;;;218.440079;2.C.4;0.132675;0.007063;-25.058548;0.006098
-25.051176;-0.388727;-24.490963;0;;;;;228.442749;2.C.5;0.140047;0.007063;-25.051176;0.006064
-25.043806;-0.420051;-24.454107;0;;;;;238.440735;3.A.1;0.147417;0.007063;-25.043806;0.005851
-25.036434;-0.446922;-24.417252;0;;;;;248.444458;3.A.2;0.154789;0.007063;-25.036434;0.000295
-25.029064;-0.475327;-24.380396;0;;;;;258.441498;3.A.3;0.162159;0.007063;-25.029064;0
-25.021692;-0.498348;-24.34354;0;;;;;267.376648;Waste(Frac);0.169531;0.007063;-25.021692;0
-25.014322;-0.520457;-24.306684;0;;;;;267.43811;3.A.4;0.176901;0.007063;-25.014322;0
-25.00695;-0.537774;-24.269829;0;;;;;277.439056;3.A.5;0.184273;0.007063;-25.00695;0
-24.99958;-0.547317;-24.232973;0;;;;;282.517731;Waste(Frac);0.191643;0.007063;-24.99958;0
-24.992208;-0.551397;-24.196117;0;;;;;282.521332;Waste(Frac);0.199015;0.007063;-24.992208;0
-24.984838;-0.545767;-24.159262;0;;;;;;;0.206385;0.007063;-24.984838;0
-24.977467;-0.524123;-24.122406;0;;;;;;;0.213757;0.007063;-24.977467;0
-24.970097;-0.495681;-24.08555;0;;;;;;;0.221127;0.007063;-24.970097;0
-24.962725;-0.457463;-24.048695;0;;;;;;;0.228498;0.007063;-24.962725;0
-24.955355;-0.413598;-24.011837;0;;;;;;;0.235868;0.007063;-24.955355;0
-24.947985;-0.368597;-23.974981;0;;;;;;;0.243238;0.007063;-24.947985;0
-24.940613;-0.314853;-23.938126;0;;;;;;;0.25061;0.007063;-24.940613;0
-24.933243;-0.264247;-23.90127;0;;;;;;;0.25798;0.007063;-24.933243;0
-24.925871;-0.216763;-23.864414;0;;;;;;;0.265352;0.007063;-24.925871;0
