Chrom.1;;Chrom.1;;Chrom.1;;Chrom.1;;Chrom.1;;Chrom.1;;Chrom.1;
UV 1_280;;Conc B;;Injection;;Run Log;;Fraction;;UV 1_280_CUT_TEMP@100,BASEM;;Cond;
ml;mAU;ml;%;ml;Injection;ml;Logbook;ml;Fraction;ml;mAU;ml;mS/cm
-25.222317;2.071887;-25.222317;0;-0.001545;;-25.222317;Method Settings;-0.000422;1.A.1;0;-1.114737;-25.222317;102.050484
-25.21417;27.950867;-25.140846;0;;;-25.22222;Equilibration;26.504108;Waste(Frac);0.008146;-1.114737;-25.206024;101.942154
-25.206024;34.037155;-25.059374;0;;;-0.029306;Sample Application;26.515842;1.A.2;0.016293;-1.114737;-25.189732;101.795288
-25.197878;33.993935;-24.977903;0;;;26.505817;Column Wash;66.514553;1.A.3;0.024439;-1.114737;-25.173437;101.355797
-25.189732;34.13921;-24.896433;0;;;76.807934;Elution;76.799603;Waste(Frac);0.032585;-1.114737;-25.157145;100.70015
-25.181585;-0.071626;-24.81496;0;;;255.897953;Column Wash;76.932835;2.A.1;0.040731;-1.114737;-25.140852;100.229294
-25.173439;-0.358863;-24.73349;0;;;;;86.93491;2.A.2;0.048878;-1.114737;-25.124559;99.916084
-25.165293;-0.91747;-24.65202;0;;;;;96.937107;2.A.3;0.057024;-1.114737;-25.108267;99.786499
-25.157146;-1.545377;-24.570547;0;;;;;106.939655;2.A.4;0.06517;-1.114737;-25.091972;99.735878
-25.149;-2.303498;-24.489077;0;;;;;116.934055;2.A.5;0.073317;-1.114737;-25.07568;99.722984
-25.140854;-3.234037;-24.407606;0;;;;;126.936939;2.B.1;0.081463;-1.114737;-25.059387;99.722542
-25.132708;-4.280405;-24.326134;0;;;;;136.940098;2.B.2;0.089609;-1.114737;-25.043095;99.744476
-25.124561;-5.411768;-24.244663;0;;;;;146.935123;2.B.3;0.097755;-1.114737;-25.026802;99.782944
-25.116415;-6.516582;-24.163193;0;;;;;156.938618;2.B.4;0.105902;-1.114737;-25.010509;99.833611
-25.108269;-7.600463;-24.08172;0;;;;;166.933887;2.B.5;0.114048;-1.114737;-24.994215;99.898735
-25.100122;-8.618654;-24.00025;0;;;;;176.93784;2.C.1;0.122194;-1.114737;-24.977922;99.968651
-25.091976;-9.529663;-23.918779;0;;;;;186.941746;2.C.2;0.130341;-1.114737;-24.96163;100.038589
-25.08383;-10.344567;-23.837307;0;;;;;196.937489;2.C.3;0.138487;-1.114737;-24.945337;100.09877
-25.075684;-11.129177;-23.755836;0;;;;;206.94173;2.C.4;0.146633;-1.114737;-24.929045;100.151833
-25.067537;-11.874764;-23.674366;0;;;;;216.937641;2.C.5;0.154779;-1.114737;-24.91275;100.192429
-25.059391;-12.560845;-23.592894;0;;;;;226.942051;3.A.1;0.162926;-1.114737;-24.896458;100.222359
-25.051245;-13.159042;-23.511423;0;;;;;236.938297;3.A.2;0.171072;-1.114737;-24.880165;100.243187
-25.043098;-13.688968;-23.429951;0;;;;;246.942936;3.A.3;0.179218;-1.114737;-24.863873;100.25238
-25.034954;-14.1705;-23.34848;0;;;;;255.889622;Waste(Frac);0.187363;-1.114737;-24.84758;100.255089
-25.026808;-14.594971;-23.26701;0;;;;;256.022831;3.A.4;0.195509;-1.114737;-24.831285;100.248894
-25.018661;-14.950508;-23.185539;0;;;;;266.024784;3.A.5;0.203655;-1.114737;-24.814993;100.237785
-25.010515;-15.227982;-23.104067;0;;;;;271.121525;Waste(Frac);0.211802;-1.114737;-24.7987;100.221298
-25.002369;-15.425102;-23.022596;0;;;;;271.129887;Waste(Frac);0.219948;-1.114737;-24.782408;100.201851
-24.994223;-15.539501;-22.941124;0;;;;;;;0.228094;-1.114737;-24.766115;100.18203
-24.986076;-15.592878;-22.859653;0;;;;;;;0.23624;-1.114737;-24.749821;100.162651
-24.97793;-15.589062;-22.778183;0;;;;;;;0.244387;-1.114737;-24.733528;100.14325
-24.969784;-15.528175;-22.696712;0;;;;;;;0.252533;-1.114737;-24.717236;100.124954
-24.961637;-15.413582;-22.61524;0;;;;;;;0.260679;-1.114737;-24.700943;100.108818
-24.953491;-15.242271;-22.53377;0;;;;;;;0.268826;-1.114737;-24.68465;100.091995
-24.945345;-15.025653;-22.452297;0;;;;;;;0.276972;-1.114737;-24.668358;100.076462
