Chrom.1;;Chrom.1;;Chrom.1;;Chrom.1;;Chrom.1;;Chrom.1;;Chrom.1;
UV 1_280;;Conc B;;Injection;;Run Log;;Fraction;;UV 1_280_CUT_TEMP@100,BASEM;;Cond;
ml;mAU;ml;%;ml;Injection;ml;Logbook;ml;Fraction;ml;mAU;ml;mS/cm
-25.655245;52.878113;-25.655245;0;0.000599;;-25.655245;Method Settings;-0.00042;1.A.1;0;0.055481;-25.655245;0.194391
-25.647093;498.87326;-25.573713;0;;;-25.655143;Equilibration;36.602682;Waste(Frac);0.008152;0.056367;-25.638941;0.195242
-25.638941;377.856537;-25.492184;0;;;-0.029284;Sample Application;36.614412;1.A.2;0.016304;0.057254;-25.622635;0.195263
-25.630787;286.0849;-25.410652;0;;;36.60438;Column Wash;76.613104;1.A.3;0.024458;0.058141;-25.606331;0.194528
-25.622635;208.537888;-25.329121;0;;;86.906507;Elution;86.898199;Waste(Frac);0.03261;0.059027;-25.590025;0.193726
-25.614483;147.359818;-25.247591;0;;;265.996672;Column Wash;87.031439;2.A.1;0.040762;0.059914;-25.573721;0.193091
-25.606331;107.749298;-25.166059;0;;;;;97.033689;2.A.2;0.048914;0.060801;-25.557415;0.192647
-25.598177;87.43248;-25.08453;0;;;;;107.035841;2.A.3;0.057068;0.061687;-25.541111;0.193215
-25.590025;79.50235;-25.002998;0;;;;;117.03842;2.A.4;0.06522;0.062574;-25.524805;0.19379
-25.581873;77.120125;-24.921467;0;;;;;127.032774;2.A.5;0.073372;0.059087;-25.508501;0.194038
-25.573721;75.495651;-24.839937;0;;;;;137.035688;2.B.1;0.081524;0.055481;-25.492195;0.194014
-25.565567;73.838058;-24.758406;0;;;;;147.038862;2.B.2;0.089678;0.055846;-25.475891;0.193932
-25.557415;72.079643;-24.676874;0;;;;;157.033888;2.B.3;0.09783;0.053811;-25.459585;0.193814
-25.549263;70.384811;-24.595345;0;;;;;167.037397;2.B.4;0.105982;0.054871;-25.443281;0.193665
-25.541111;68.843582;-24.513813;0;;;;;177.032682;2.B.5;0.114134;0.055409;-25.426975;0.193511
-25.532957;67.460678;-24.432281;0;;;;;187.036512;2.C.1;0.122288;0.055151;-25.410671;0.193387
-25.524805;66.197884;-24.350752;0;;;;;197.04048;2.C.2;0.13044;0.055978;-25.394365;0.193265
-25.516653;65.010002;-24.26922;0;;;;;207.036222;2.C.3;0.138592;0.056256;-25.378061;0.193182
-25.508501;63.90453;-24.187691;0;;;;;217.040419;2.C.4;0.146744;0.058549;-25.361755;0.193057
-25.500347;62.808315;-24.106159;0;;;;;227.036406;2.C.5;0.154898;0.059155;-25.345451;0.192908
-25.492195;61.767899;-24.024628;0;;;;;237.0408;3.A.1;0.16305;0.059421;-25.329145;0.192804
-25.484043;60.769638;-23.943098;0;;;;;247.037016;3.A.2;0.171202;0.060619;-25.312841;0.192686
-25.475891;59.860966;-23.861567;0;;;;;257.041655;3.A.3;0.179354;0.061065;-25.296535;0.19262
-25.467737;58.985958;-23.780035;0;;;;;265.98834;Waste(Frac);0.187508;0.062701;-25.280231;0.192514
-25.459585;58.216774;-23.698505;0;;;;;266.12158;3.A.4;0.19566;0.062785;-25.263926;0.192414
-25.451433;57.561058;-23.616974;0;;;;;276.123503;3.A.5;0.203812;0.062659;-25.247622;0.192318
-25.443281;57.02309;-23.535442;0;;;;;281.211943;Waste(Frac);0.211964;0.064949;-25.231316;0.192268
-25.435127;56.573589;-23.453913;0;;;;;281.220274;Waste(Frac);0.220118;0.065135;-25.215012;0.192185
-25.426975;56.179672;-23.372381;0;;;;;;;0.22827;0.066615;-25.198706;0.192133
-25.418823;55.816628;-23.29085;0;;;;;;;0.236422;0.068177;-25.182402;0.192121
-25.410671;55.4758;-23.20932;0;;;;;;;0.244574;0.07028;-25.166096;0.192132
-25.402517;55.195892;-23.127789;0;;;;;;;0.252728;0.071284;-25.149792;0.192138
-25.394365;54.95953;-23.046257;0;;;;;;;0.26088;0.074198;-25.133486;0.192119
-25.386213;54.712234;-22.964727;0;;;;;;;0.269032;0.077257;-25.117182;0.192108
-25.378061;54.502037;-22.883196;0;;;;;;;0.277184;0.078367;-25.100876;0.19209
-25.369907;54.353794;-22.801666;0;;;;;;;0.285337;0.08078;-25.084572;0.19211
