Chrom.1;;Chrom.1;;Chrom.1;;Chrom.1;;Chrom.1;;Chrom.1;;Chrom.1;
UV 1_280;;Injection;;Run Log;;Fraction;;UV 1_280_CUT_TEMP@100,BASEM;;Cond;;Conc B;
ml;mAU;ml;Injection;ml;Logbook;ml;Fraction;ml;mAU;ml;mS/cm;ml;%
-25.22229;2.799959;0.001429;;-25.22229;Method Settings;-0.000422;1.A.1;0;0.08284;-25.22229;95.427513;-25.22229;0
-25.214138;37.058643;;;-25.222198;Equilibration;36.725227;Waste(Frac);0.008152;0.083501;-25.205986;95.183182;-25.140764;0
-25.205986;46.451542;;;-0.029242;Sample Application;36.736988;1.A.2;0.016304;0.084162;-25.18968;95.049988;-25.059237;0
-25.197832;46.228569;;;36.726929;Column Wash;76.735779;1.A.3;0.024458;0.084822;-25.173376;94.564392;-24.977711;0
-25.18968;46.318073;;;87.02916;Elution;87.020798;Waste(Frac);0.03261;0.085483;-25.15707;93.95739;-24.896183;0
-25.181528;-0.107787;;;266.119232;Column Wash;87.154037;2.A.1;0.040762;0.086144;-25.140766;93.535698;-24.814657;0
-25.173376;-0.749662;;;;;97.156105;2.A.2;0.048914;0.08284;-25.12446;93.27269;-24.733131;0
-25.165222;-1.888712;;;;;107.158432;2.A.3;0.057068;0.078645;-25.108156;93.177269;-24.651604;0
-25.15707;-3.057669;;;;;117.160904;2.A.4;0.06522;0.073328;-25.09185;93.15329;-24.570078;0
-25.148918;-4.481715;;;;;127.155289;2.A.5;0.073372;0.07272;-25.075546;93.161766;-24.48855;0
-25.140766;-6.10251;;;;;137.158218;2.B.1;0.081524;0.079958;-25.05924;93.192848;-24.407024;0
-25.132612;-7.871201;;;;;147.161423;2.B.2;0.089678;0.084362;-25.042936;93.237549;-24.325497;0
-25.12446;-9.791741;;;;;157.156357;2.B.3;0.09783;0.085618;-25.02663;93.296333;-24.243971;0
-25.116308;-11.78173;;;;;167.159851;2.B.4;0.105982;0.088803;-25.010326;93.369278;-24.162445;0
-25.108156;-13.712967;;;;;177.163528;2.B.5;0.114134;0.092204;-24.99402;93.449463;-24.080917;0
-25.100002;-15.471888;;;;;187.159027;2.C.1;0.122288;0.092893;-24.977716;93.52771;-23.999392;0
-25.09185;-16.980804;;;;;197.162979;2.C.2;0.13044;0.093582;-24.961411;93.600143;-23.917864;0
-25.083698;-18.325842;;;;;207.158783;2.C.3;0.138592;0.094271;-24.945107;93.66346;-23.836338;0
-25.075546;-19.640701;;;;;217.162903;2.C.4;0.146744;0.09496;-24.928802;93.714424;-23.754812;0
-25.067392;-20.929632;;;;;227.167175;2.C.5;0.154898;0.095649;-24.912497;93.755806;-23.673285;0
-25.05924;-22.060623;;;;;237.163361;3.A.1;0.16305;0.096339;-24.896193;93.786545;-23.591759;0
-25.051088;-23.021254;;;;;247.167877;3.A.2;0.171202;0.096961;-24.879887;93.80999;-23.510231;0
-25.042936;-23.887144;;;;;257.164124;3.A.3;0.179354;0.097583;-24.863583;93.824081;-23.428705;0
-25.034784;-24.717907;;;;;266.11087;Waste(Frac);0.187506;0.098205;-24.847277;93.829704;-23.347179;0
-25.02663;-25.484926;;;;;266.244049;3.A.4;0.19566;0.098827;-24.830973;93.828499;-23.265652;0
-25.018478;-26.169367;;;;;276.245972;3.A.5;0.203812;0.099449;-24.814667;93.818802;-23.184126;0
-25.010326;-26.716869;;;;;281.342712;Waste(Frac);0.211964;0.100071;-24.798363;93.805328;-23.102598;0
-25.002174;-27.127405;;;;;281.351074;Waste(Frac);0.220116;0.100693;-24.782057;93.789612;-23.021072;0
-24.99402;-27.446026;;;;;;;0.22827;0.101315;-24.765753;93.772644;-22.939545;0
-24.985868;-27.706045;;;;;;;0.236422;0.101937;-24.749447;93.753387;-22.858019;0
-24.977716;-27.889791;;;;;;;0.244574;0.102559;-24.733143;93.734108;-22.776493;0
-24.969564;-28.007519;;;;;;;0.252726;0.10332;-24.716837;93.714577;-22.694965;0
-24.961411;-28.054605;;;;;;;0.26088;0.104082;-24.700533;93.694908;-22.61344;0
-24.953259;-28.014063;;;;;;;0.269032;0.104843;-24.684227;93.676399;-22.531912;0
-24.945107;-27.898977;;;;;;;0.277184;0.105604;-24.667923;93.660217;-22.450386;0
-24.936954;-27.699461;;;;;;;0.285336;0.106366;-24.651619;93.648018;-22.368858;0
-24.928801;-27.420315;;;;;;;0.293489;0.107127;-24.635313;93.638649;-22.287333;0
-24.920649;-27.082893;;;;;;;0.301641;0.107888;-24.619009;93.632988;-22.205807;0
-24.912497;-26.693886;;;;;;;0.309793;0.108649;-24.602703;93.628754;-22.124279;0
-24.904345;-26.262367;;;;;;;0.317945;0.109411;-24.586399;93.625519;-22.042753;0
-24.896191;-25.813475;;;;;;;0.326099;0.110172;-24.570093;93.624161;-21.961227;0
-24.888039;-25.355146;;;;;;;0.334251;0.110834;-24.553789;93.624733;-21.8797;0
-24.879887;-24.897289;;;;;;;0.342403;0.111495;-24.537483;93.626747;-21.798174;0
-24.871735;-24.4431;;;;;;;0.350555;0.112156;-24.521179;93.630409;-21.716646;0
