Chrom.1;;Chrom.1;;Chrom.1;;Chrom.1;;Chrom.1;;Chrom.1;;Chrom.1;
UV 1_280;;Conc B;;Injection;;Run Log;;Fraction;;UV 1_280_CUT_TEMP@100,BASEM;;Cond;
ml;mAU;ml;%;ml;Injection;ml;Logbook;ml;Fraction;ml;mAU;ml;mS/cm
-25.222282;-0.486342;-25.222282;0;-0.00395;;-25.222282;Method Settings;-0.000422;1.A.1;0;0.041181;-25.222282;0.044735
-25.214128;-6.43692;-25.140764;0;;;-25.222191;Equilibration;39.164009;Waste(Frac);0.008154;0.041954;-25.205975;0.045313
-25.205976;-6.211413;-25.059246;0;;;-0.029257;Sample Application;39.175743;1.A.2;0.016306;0.042727;-25.189667;0.045761
-25.197823;-6.21907;-24.977728;0;;;39.165718;Column Wash;79.174561;1.A.3;0.02446;0.0435;-25.173359;0.045991
-25.189669;-6.235345;-24.89621;0;;;89.467949;Elution;89.459625;Waste(Frac);0.032614;0.044273;-25.157053;0.046402
-25.181515;-0.007006;-24.814692;0;;;268.558144;Column Wash;89.592865;2.A.1;0.040768;0.045046;-25.140745;0.046479
-25.173363;-0.001475;-24.733173;0;;;;;99.595108;2.A.2;0.04892;0.045819;-25.124437;0.047002
-25.165209;-0.015695;-24.651655;0;;;;;109.597374;2.A.3;0.057074;0.046592;-25.10813;0.047244
-25.157055;-0.042881;-24.570137;0;;;;;119.599831;2.A.4;0.065228;0.047365;-25.091822;0.047086
-25.148903;-0.076829;-24.488619;0;;;;;129.594231;2.A.5;0.07338;0.048138;-25.075514;0.046797
-25.140749;-0.112284;-24.407101;0;;;;;139.597084;2.B.1;0.081533;0.048911;-25.059206;0.046547
-25.132595;-0.146915;-24.325583;0;;;;;149.600334;2.B.2;0.089687;0.049718;-25.042898;0.0463
-25.124443;-0.181174;-24.244064;0;;;;;159.595284;2.B.3;0.097839;0.050524;-25.026592;0.046036
-25.116289;-0.216728;-24.162546;0;;;;;169.598763;2.B.4;0.105993;0.05133;-25.010284;0.045854
-25.108135;-0.257089;-24.081028;0;;;;;179.602409;2.B.5;0.114147;0.052137;-24.993977;0.045675
-25.099981;-0.303379;-23.99951;0;;;;;189.597984;2.C.1;0.122301;0.052943;-24.977669;0.045484
-25.091829;-0.353003;-23.917992;0;;;;;199.601921;2.C.2;0.130453;0.053749;-24.961361;0.045386
-25.083675;-0.388617;-23.836473;0;;;;;209.597664;2.C.3;0.138607;0.054556;-24.945053;0.045323
-25.075521;-0.41746;-23.754955;0;;;;;219.60186;2.C.4;0.146761;0.055362;-24.928745;0.045253
-25.067369;-0.444591;-23.673437;0;;;;;229.597832;2.C.5;0.154913;0.056169;-24.912439;0.045244
-25.059216;-0.468824;-23.591919;0;;;;;239.602272;3.A.1;0.163067;0.056975;-24.896132;0.04528
-25.051062;-0.493185;-23.510401;0;;;;;249.606758;3.A.2;0.171221;0.057703;-24.879824;0.045265
-25.042908;-0.516417;-23.428883;0;;;;;259.602974;3.A.3;0.179375;0.058431;-24.863516;0.045248
-25.034756;-0.528705;-23.347364;0;;;;;268.549782;Waste(Frac);0.187527;0.059158;-24.847208;0.04525
-25.026602;-0.527807;-23.265846;0;;;;;268.682991;3.A.4;0.195681;0.059886;-24.8309;0.045243
-25.018448;-0.499919;-23.184328;0;;;;;278.684853;3.A.5;0.203835;0.060614;-24.814592;0.045217
-25.010296;-0.440604;-23.10281;0;;;;;283.781624;Waste(Frac);0.211987;0.061342;-24.798286;0.045203
-25.002142;-0.348377;-23.021292;0;;;;;283.789925;Waste(Frac);0.22014;0.06207;-24.781979;0.045183
-24.993988;-0.2082;-22.939774;0;;;;;;;0.228294;0.062797;-24.765671;0.045192
-24.985836;-0.030608;-22.858253;0;;;;;;;0.236448;0.063525;-24.749363;0.045232
-24.977682;0.180916;-22.776737;0;;;;;;;0.2446;0.064253;-24.733055;0.04525
-24.969528;0.423109;-22.695217;0;;;;;;;0.252754;0.065022;-24.716747;0.045245
-24.961374;0.687809;-22.613701;0;;;;;;;0.260908;0.065791;-24.700439;0.045233
-24.953222;0.960748;-22.532181;0;;;;;;;0.26906;0.066559;-24.684132;0.045197
-24.945068;1.236292;-22.450665;0;;;;;;;0.277214;0.067328;-24.667826;0.045181
