Chrom.1;;Chrom.1;;Chrom.1;;Chrom.1;;Chrom.1;;Chrom.1;;Chrom.1;
UV 1_280;;Injection;;Run Log;;Fraction;;UV 1_280_CUT_TEMP@100,BASEM;;Cond;;Conc B;
ml;mAU;ml;Injection;ml;Logbook;ml;Fraction;ml;mAU;ml;mS/cm;ml;%
-25.222549;-5.765074;-0.003586;;-25.222549;Method Settings;-0.000423;1.A.1;0;-1.009259;-25.222549;0.18359;-25.222549;0
-25.214367;-71.059395;;;-25.222451;Equilibration;26.393856;Waste(Frac);0.008183;-1.009259;-25.206184;0.183334;-25.140709;0
-25.206184;-71.129578;;;-0.029325;Sample Application;26.405582;1.A.2;0.016365;-1.009259;-25.189817;0.183419;-25.058867;0
-25.198002;-71.13485;;;26.395546;Column Wash;66.403076;1.A.3;0.024548;-1.009259;-25.173452;0.184934;-24.977026;0
-25.189819;-71.179375;;;76.696472;Elution;76.68811;Waste(Frac);0.03273;-1.009259;-25.157087;0.186162;-24.895185;0
-25.181637;-0.005068;;;331.193893;Column Wash;76.821426;2.A.1;0.040913;-1.009259;-25.14072;0.185601;-24.813345;0
-25.173454;0.03568;;;;;86.823624;2.A.2;0.049095;-1.009259;-25.124355;0.185655;-24.731503;0
-25.165272;0.073542;;;;;96.825844;2.A.3;0.057278;-1.009259;-25.10799;0.185598;-24.649662;0
-25.157087;0.085212;;;;;106.828384;2.A.4;0.065462;-1.009259;-25.091623;0.185156;-24.567822;0
-25.148905;0.093577;;;;;116.822708;2.A.5;0.073645;-1.009259;-25.075258;0.184608;-24.485981;0
-25.140722;0.096967;;;;;126.825638;2.B.1;0.081827;-1.009259;-25.058893;0.184029;-24.404139;0
-25.13254;0.1098;;;;;136.828796;2.B.2;0.09001;-1.009259;-25.042526;0.183441;-24.322298;0
-25.124357;0.120725;;;;;146.823792;2.B.3;0.098192;-1.009259;-25.026161;0.182918;-24.240458;0
-25.116175;0.122786;;;;;156.827347;2.B.4;0.106375;-1.009259;-25.009796;0.182505;-24.158617;0
-25.107992;0.10727;;;;;166.830994;2.B.5;0.114557;-1.009259;-24.993429;0.18217;-24.076775;0
-25.09981;0.072088;;;;;176.826477;2.C.1;0.12274;-1.009259;-24.977064;0.18191;-23.994934;0
-25.091627;0.026454;;;;;186.830414;2.C.2;0.130922;-1.009259;-24.960699;0.181705;-23.913094;0
-25.083445;-0.009438;;;;;196.826218;2.C.3;0.139105;-1.009259;-24.944332;0.181539;-23.831253;0
-25.075262;-0.034713;;;;;206.830383;2.C.4;0.147287;-1.009259;-24.927967;0.181382;-23.749411;0
-25.06708;-0.05875;;;;;216.826294;2.C.5;0.15547;-1.009259;-24.911602;0.181276;-23.66757;0
-25.058897;-0.079971;;;;;226.830765;3.A.1;0.163652;-1.009259;-24.895235;0.181224;-23.58573;0
-25.050713;-0.098076;;;;;236.826981;3.A.2;0.171835;-1.009259;-24.87887;0.181183;-23.503889;0
-25.04253;-0.102807;;;;;246.831558;3.A.3;0.180019;-1.009259;-24.862505;0.181121;-23.422047;0
-25.034348;-0.09384;;;;;256.827957;3.A.4;0.188202;-1.009259;-24.846138;0.181045;-23.340206;0
-25.026165;-0.053538;;;;;266.832718;3.A.5;0.196384;-1.009259;-24.829773;0.180962;-23.258366;0
-25.017982;0.026395;;;;;276.829147;3.B.1;0.204567;-1.009259;-24.813408;0.180882;-23.176525;0
-25.0098;0.192448;;;;;286.834061;3.B.2;0.212749;-1.009259;-24.797041;0.180852;-23.094683;0
-25.001617;0.438709;;;;;296.830521;3.B.3;0.220932;-1.009259;-24.780676;0.180793;-23.012842;0
-24.993435;0.761842;;;;;306.835495;3.B.4;0.229115;-1.009259;-24.764311;0.180691;-22.931002;0
-24.985252;1.143179;;;;;316.832047;3.B.5;0.237297;-1.009259;-24.747944;0.180695;-22.849161;0
-24.97707;1.604825;;;;;326.83696;3.C.1;0.24548;-1.009259;-24.731579;0.180736;-22.767319;0
-24.968887;2.128693;;;;;331.185562;Waste(Frac);0.253662;-1.009259;-24.715214;0.180734;-22.685478;0
-24.960705;2.695708;;;;;331.318802;3.C.2;0.261845;-1.009259;-24.698847;0.180719;-22.603638;0
-24.952522;3.26205;;;;;341.320663;3.C.3;0.270027;-1.009259;-24.682482;0.180693;-22.521797;0
-24.94434;3.812991;;;;;346.417435;Waste(Frac);0.27821;-1.009259;-24.666117;0.180719;-22.439955;0
-24.936157;4.359273;;;;;346.425766;Waste(Frac);0.286392;-1.009259;-24.64975;0.180728;-22.358114;0
-24.927973;4.894669;;;;;;;0.294577;-1.009259;-24.633385;0.180762;-22.276274;0
-24.91979;5.41788;;;;;;;0.302759;-1.009259;-24.61702;0.180832;-22.194433;0
-24.911608;5.920088;;;;;;;0.310942;-1.009259;-24.600653;0.180903;-22.112591;0
-24.903425;6.393143;;;;;;;0.319124;-1.009259;-24.584288;0.180953;-22.03075;0
-24.895243;6.836802;;;;;;;0.327307;-1.009259;-24.567923;0.18096;-21.94891;0
-24.88706;7.244402;;;;;;;0.335489;-1.009259;-24.551556;0.180968;-21.867069;0
