Chrom.1;;Chrom.1;;Chrom.1;;Chrom.1;;Chrom.1;;Chrom.1;;Chrom.1;
UV 1_280;;Conc B;;Injection;;Run Log;;Fraction;;UV 1_280_CUT_TEMP@100,BASEM;;Cond;
ml;mAU;ml;%;ml;Injection;ml;Logbook;ml;Fraction;ml;mAU;ml;mS/cm
-25.189678;0.471796;-25.189678;0;-0.001234;;-25.189678;Method Settings;-0.000422;1.A.1;0;-0.02163;-25.189678;0
-25.181252;6.282371;-25.147539;0;;;-25.189577;Equilibration;39.537266;Waste(Frac);0.008427;-0.02163;-25.181252;0
-25.172825;6.160862;-25.1054;0;;;-0.014202;Sample Application;39.548878;1.A.2;0.016853;-0.02163;-25.172825;0
-25.164396;6.156063;-25.063261;0;;;39.538944;Column Wash;79.547192;1.A.3;0.025282;-0.02163;-25.164396;0
-25.15597;5.957219;-25.02112;0;;;89.825397;Elution;89.821323;Waste(Frac);0.033709;-0.02163;-25.15597;0
-25.147543;-0.038646;-24.978981;0;;;344.247608;Column Wash;89.886616;2.A.1;0.042135;-0.02163;-25.147543;0
-25.139116;-0.055903;-24.936842;0;;;;;99.888302;2.A.2;0.050562;-0.02163;-25.139116;0
-25.13069;-0.078976;-24.894703;0;;;;;109.886173;2.A.3;0.058989;-0.021967;-25.13069;0
-25.122261;-0.10473;-24.852564;0;;;;;119.889149;2.A.4;0.067417;-0.025886;-25.122261;0
-25.113834;-0.107718;-24.810425;0;;;;;129.887638;2.A.5;0.075844;-0.026737;-25.113834;0
-25.105408;-0.098339;-24.768284;0;;;;;139.886677;2.B.1;0.08427;-0.025491;-25.105408;0
-25.096981;-0.095215;-24.726145;0;;;;;149.88802;2.B.2;0.092697;-0.02163;-25.096981;0
-25.088554;-0.106148;-24.684006;0;;;;;159.890781;2.B.3;0.101124;-0.02163;-25.088554;0
-25.080126;-0.113979;-24.641867;0;;;;;169.889805;2.B.4;0.109552;-0.02163;-25.080126;0
-25.071699;-0.122875;-24.599728;0;;;;;179.891285;2.B.5;0.117979;-0.02163;-25.071699;0
-25.063272;-0.137388;-24.557589;0;;;;;189.890827;2.C.1;0.126406;-0.02163;-25.063272;0
-25.054846;-0.148959;-24.51545;0;;;;;199.889622;2.C.2;0.134832;-0.02163;-25.054846;0
-25.046419;-0.160115;-24.473309;0;;;;;209.889439;2.C.3;0.143259;-0.02163;-25.046419;0
-25.037991;-0.170104;-24.43117;0;;;;;219.890064;2.C.4;0.151688;-0.02163;-25.037991;0
-25.029564;-0.176062;-24.38903;0;;;;;229.890491;2.C.5;0.160114;-0.02163;-25.029564;0
-25.021137;-0.171127;-24.346891;0;;;;;239.889301;3.A.1;0.168541;-0.02163;-25.021137;0
-25.012711;-0.149594;-24.304752;0;;;;;249.890705;3.A.2;0.176968;-0.02163;-25.012711;0
-25.004284;-0.088175;-24.262613;0;;;;;259.891102;3.A.3;0.185394;-0.02163;-25.004284;0
-24.995855;0.055977;-24.220472;0;;;;;269.8922;3.A.4;0.193823;-0.02163;-24.995855;0
-24.987429;0.295293;-24.178333;0;;;;;279.889881;3.A.5;0.20225;-0.02163;-24.987429;0
-24.979002;0.659186;-24.136194;0;;;;;289.894093;3.B.1;0.210676;-0.02163;-24.979002;0
-24.970575;1.136986;-24.094055;0;;;;;299.893421;3.B.2;0.219103;-0.02163;-24.970575;0
-24.962149;1.682723;-24.051916;0;;;;;309.89397;3.B.3;0.22753;-0.02163;-24.962149;0
-24.95372;2.275006;-24.009777;0;;;;;319.891499;3.B.4;0.235958;-0.02163;-24.95372;0
-24.945293;2.901705;-23.967636;0;;;;;329.894184;3.B.5;0.244385;-0.02163;-24.945293;0
-24.936867;3.524374;-23.925497;0;;;;;339.892078;3.C.1;0.252811;-0.02163;-24.936867;0
-24.92844;4.117219;-23.883358;0;;;;;344.243244;Waste(Frac);0.261238;-0.02163;-24.92844;0
-24.920013;4.645427;-23.841219;0;;;;;344.313129;3.C.2;0.269665;-0.02163;-24.920013;0
-24.911585;5.080054;-23.79908;0;;;;;354.313099;3.C.3;0.278093;-0.02163;-24.911585;0
-24.903158;5.433153;-23.756941;0;;;;;359.399647;Waste(Frac);0.28652;-0.02163;-24.903158;0
-24.894732;5.710845;-23.714802;0;;;;;359.403889;Waste(Frac);0.294947;-0.02163;-24.894732;0
