Chrom.1;;Chrom.1;;Chrom.1;;Chrom.1;;Chrom.1;;Chrom.1;;Chrom.1;
UV 1_280;;Injection;;Run Log;;Fraction;;UV 1_280_CUT_TEMP@100,BASEM;;Cond;;Conc B;
ml;mAU;ml;Injection;ml;Logbook;ml;Fraction;ml;mAU;ml;mS/cm;ml;%
-25.222221;-4.087512;0.001425;;-25.222221;Method Settings;-0.000422;1.A.1;0;0.105414;-25.222221;0.040006;-25.222221;0
-25.214029;-51.018703;;;-25.222116;Equilibration;40.000221;1.A.2;0.008192;0.105521;-25.205837;0.042922;-25.140314;0
-25.205837;-51.94207;;;-0.029213;Sample Application;51.744698;Waste(Frac);0.016384;0.105628;-25.189451;0.042497;-25.058405;0
-25.197645;-51.959202;;;51.746407;Column Wash;51.756493;1.A.3;0.024576;0.105736;-25.173067;0.064915;-24.976498;0
-25.189453;-52.012009;;;102.048553;Elution;91.755211;1.B.1;0.032768;0.105843;-25.156683;0.08802;-24.89459;0
-25.181261;-0.036659;;;356.545876;Column Wash;102.040237;Waste(Frac);0.04096;0.10595;-25.140299;0.098538;-24.812683;0
-25.173069;-0.038163;;;;;102.173485;2.A.1;0.049152;0.106057;-25.123913;0.114482;-24.730774;0
-25.164877;-0.04513;;;;;112.175697;2.A.2;0.057344;0.106165;-25.107529;0.115776;-24.648867;0
-25.156685;-0.056355;;;;;122.177895;2.A.3;0.065536;0.106272;-25.091145;0.109393;-24.566959;0
-25.148493;-0.069222;;;;;132.180412;2.A.4;0.073729;0.106379;-25.07476;0.100391;-24.485052;0
-25.140301;-0.074877;;;;;142.174797;2.A.5;0.081921;0.106487;-25.058374;0.091275;-24.403143;0
-25.132107;-0.07083;;;;;152.177666;2.B.1;0.090115;0.106587;-25.04199;0.082882;-24.321236;0
-25.123915;-0.053678;;;;;162.180855;2.B.2;0.098307;0.106271;-25.025606;0.075274;-24.239328;0
-25.115723;-0.03977;;;;;172.175804;2.B.3;0.106499;0.104429;-25.00922;0.068594;-24.157421;0
-25.107531;-0.038077;;;;;182.179344;2.B.4;0.114691;0.102763;-24.992836;0.063001;-24.075512;0
-25.099339;-0.051092;;;;;192.183006;2.B.5;0.122883;0.102252;-24.976452;0.0584;-23.993605;0
-25.091146;-0.064365;;;;;202.178551;2.C.1;0.131075;0.103466;-24.960068;0.054628;-23.911697;0
-25.082954;-0.074416;;;;;212.182533;2.C.2;0.139267;0.105414;-24.943682;0.051538;-23.82979;0
-25.074762;-0.081244;;;;;222.178185;2.C.3;0.147459;0.107291;-24.927298;0.049011;-23.747881;0
-25.06657;-0.091376;;;;;232.182411;2.C.4;0.155651;0.107392;-24.910913;0.046957;-23.665974;0
-25.058378;-0.099148;;;;;242.178413;2.C.5;0.163843;0.107492;-24.894529;0.045314;-23.584066;0
-25.050186;-0.103741;;;;;252.182808;3.A.1;0.172035;0.107602;-24.878143;0.044013;-23.502159;0
-25.041994;-0.095821;;;;;262.179054;3.A.2;0.180227;0.107712;-24.861759;0.042977;-23.42025;0
-25.033802;-0.037038;;;;;272.183601;3.A.3;0.188419;0.107822;-24.845375;0.04215;-23.338343;0
-25.02561;0.103983;;;;;282.179939;3.A.4;0.196611;0.107932;-24.828989;0.041507;-23.256435;0
-25.017418;0.338113;;;;;292.184731;3.A.5;0.204803;0.108042;-24.812605;0.04097;-23.174526;0
-25.009226;0.660494;;;;;302.181252;3.B.1;0.212996;0.108152;-24.796221;0.040559;-23.092619;0
-25.001034;1.042892;;;;;312.186043;3.B.2;0.221188;0.108262;-24.779837;0.040207;-23.010712;0
-24.992842;1.486497;;;;;322.182625;3.B.3;0.22938;0.108372;-24.763451;0.039926;-22.928804;0
-24.98465;1.998044;;;;;332.187538;3.B.4;0.237572;0.108482;-24.747066;0.039686;-22.846897;0
-24.976458;2.566483;;;;;342.184151;3.B.5;0.245764;0.108592;-24.730682;0.039488;-22.764988;0
-24.968264;3.180336;;;;;352.189064;3.C.1;0.253958;0.108711;-24.714298;0.039333;-22.683081;0
-24.960072;3.83553;;;;;356.537575;Waste(Frac);0.26215;0.108831;-24.697912;0.039162;-22.601173;0
-24.95188;4.528084;;;;;356.670906;3.C.2;0.270342;0.10895;-24.681528;0.039056;-22.519264;0
-24.943687;5.254444;;;;;366.672737;3.C.3;0.278534;0.109069;-24.665144;0.038922;-22.437357;0
-24.935495;5.996668;;;;;371.769508;Waste(Frac);0.286726;0.109188;-24.648758;0.038831;-22.35545;0
-24.927303;6.740774;;;;;371.777809;Waste(Frac);0.294918;0.109307;-24.632374;0.038739;-22.273542;0
-24.919111;7.477806;;;;;;;0.30311;0.109426;-24.61599;0.03865;-22.191635;0
-24.910919;8.197063;;;;;;;0.311302;0.109545;-24.599606;0.038586;-22.109726;0
-24.902727;8.89705;;;;;;;0.319494;0.109664;-24.58322;0.038536;-22.027819;0
-24.894535;9.565097;;;;;;;0.327686;0.109783;-24.566835;0.038521;-21.945911;0
-24.886343;10.184382;;;;;;;0.335878;0.109882;-24.550451;0.038521;-21.864002;0
-24.878151;10.734444;;;;;;;0.34407;0.10998;-24.534065;0.0385;-21.782095;0
