Chrom.1;;Chrom.1;;Chrom.1;;Chrom.1;;Chrom.1;;Chrom.1;;Chrom.1;
UV 1_280;;Conc B;;Injection;;Run Log;;Fraction;;UV 1_280_CUT_TEMP@100,BASEM;;Cond;
ml;mAU;ml;%;ml;Injection;ml;Logbook;ml;Fraction;ml;mAU;ml;mS/cm
-25.189634;-0.036813;-25.189634;0;-0.003292;;-25.189634;Method Settings;-0.000422;1.A.1;0;0.002935;-25.189634;0.013452
-25.181395;-0.459695;-25.148438;0;;;-25.189535;Equilibration;28.98699;Waste(Frac);0.00824;0.003025;-25.181395;0.013728
-25.173157;-0.540006;-25.107243;0;;;-0.014576;Sample Application;28.998793;1.A.2;0.016478;0.003115;-25.173157;0.014661
-25.164917;-0.558321;-25.066046;0;;;28.988707;Column Wash;68.99843;1.A.3;0.024717;0.003205;-25.164917;0.014795
-25.156679;-0.618633;-25.024851;0;;;79.275156;Elution;79.270945;Waste(Frac);0.032955;0.003295;-25.156679;0.015295
-25.148439;-0.065851;-24.983654;0;;;333.693026;Column Wash;79.338289;2.A.1;0.041195;0.003384;-25.148439;0.014828
-25.140202;-0.096107;-24.942459;0;;;;;89.339235;2.A.2;0.049433;0.003474;-25.140202;0.014221
-25.131962;-0.123832;-24.901262;0;;;;;99.338831;2.A.3;0.057673;0.003564;-25.131962;0.014704
-25.123724;-0.172351;-24.860067;0;;;;;109.340425;2.A.4;0.06591;-0.000414;-25.123724;0.014926
-25.115484;-0.205258;-24.818871;0;;;;;119.342012;2.A.5;0.07415;0.001841;-25.115484;0.014698
-25.107244;-0.201265;-24.777674;0;;;;;129.340563;2.B.1;0.08239;-0.000496;-25.107244;0.014848
-25.099007;-0.209633;-24.736479;0;;;;;139.338625;2.B.2;0.090628;0.00393;-25.099007;0.015272
-25.090767;-0.256911;-24.695282;0;;;;;149.342196;2.B.3;0.098867;0.004026;-25.090767;0.015538
-25.082529;-0.308372;-24.654087;0;;;;;159.339388;2.B.4;0.107105;0.004122;-25.082529;0.016149
-25.074289;-0.349027;-24.61289;0;;;;;169.339708;2.B.5;0.115345;0.004218;-25.074289;0.017741
-25.066051;-0.385298;-24.571695;0;;;;;179.342089;2.C.1;0.123583;0.004314;-25.066051;0.019338
-25.057812;-0.429021;-24.530499;0;;;;;189.34041;2.C.2;0.131823;0.00441;-25.057812;0.020333
-25.049572;-0.466022;-24.489304;0;;;;;199.339785;2.C.3;0.140062;0.004506;-25.049572;0.020796
-25.041334;-0.497108;-24.448107;0;;;;;209.34041;2.C.4;0.1483;0.004602;-25.041334;0.020869
-25.033094;-0.522856;-24.40691;0;;;;;219.344042;2.C.5;0.15654;0.004698;-25.033094;0.020642
-25.024857;-0.533885;-24.365715;0;;;;;229.341539;3.A.1;0.164778;0.004794;-25.024857;0.020325
-25.016617;-0.522756;-24.324518;0;;;;;239.343691;3.A.2;0.173018;0.004897;-25.016617;0.019892
-25.008379;-0.463795;-24.283323;0;;;;;249.342043;3.A.3;0.181255;0.004999;-25.008379;0.019403
-25.000139;-0.287835;-24.242126;0;;;;;259.344576;3.A.4;0.189495;0.005101;-25.000139;0.01895
-24.991901;0.073952;-24.200932;0;;;;;269.342134;3.A.5;0.197733;0.005203;-24.991901;0.018405
-24.983662;0.684752;-24.159735;0;;;;;279.345339;3.B.1;0.205973;0.005305;-24.983662;0.017902
-24.975422;1.765415;-24.118538;0;;;;;289.34189;3.B.2;0.214212;0.005407;-24.975422;0.0174
-24.967184;3.230436;-24.077343;0;;;;;299.345888;3.B.3;0.22245;0.005509;-24.967184;0.016913
-24.958944;5.083585;-24.036146;0;;;;;309.345705;3.B.4;0.23069;0.005612;-24.958944;0.016449
-24.950706;7.192801;-23.994951;0;;;;;319.346498;3.B.5;0.238928;0.005714;-24.950706;0.016022
-24.942467;9.455991;-23.953754;0;;;;;329.344942;3.C.1;0.247168;0.005816;-24.942467;0.015695
-24.934229;11.679934;-23.91256;0;;;;;333.688997;Waste(Frac);0.255405;0.005902;-24.934229;0.015339
-24.925989;13.711714;-23.871363;0;;;;;333.753206;3.C.2;0.263645;0.005989;-24.925989;0.015016
-24.917751;15.4603;-23.830168;0;;;;;343.755465;3.C.3;0.271883;0.006075;-24.917751;0.014728
